,life_stage,case,session,plankton,x_(mm),y_(mm),z_(mm),ds_(mm),dv_(mm/s),angle_(deg)
152,naupliar,withFood,trj_naupwF5_1,1,-7.1711,22.9509,15.3251,0.1780787466263161,5.342362398789484,98.66284611350729
153,naupliar,withFood,trj_naupwF5_1,1,-7.161,22.9488,15.3175,0.0128132743668439,0.384398231005317,0.5309944224366618
154,naupliar,withFood,trj_naupwF5_1,1,-7.1509,22.9466,15.3098,0.0128895306353648,0.386685919060945,116.5373372238126
155,naupliar,withFood,trj_naupwF5_1,1,-7.2629,23.0743,15.259,0.1772905242814745,5.318715728444237,24.85598561000533
156,naupliar,withFood,trj_naupwF5_1,1,-7.2918,23.1339,15.2082,0.0834746069173136,2.50423820751941,156.39484504279088
157,naupliar,withFood,trj_naupwF5_1,1,-7.2584,23.078,15.2248,0.0672006696395219,2.016020089185658,156.18390279868598
158,naupliar,withFood,trj_naupwF5_1,1,-7.356,23.2083,15.0998,0.2052531363950389,6.157594091851168,15.568714373378471
159,naupliar,withFood,trj_naupwF5_1,1,-7.4342,23.2726,15.048,0.1137232166270366,3.4116964988110987,175.97952768348637
160,naupliar,withFood,trj_naupwF5_1,1,-7.3266,23.1836,15.1075,0.1517860665542141,4.553581996626423,161.82337837401636
161,naupliar,withFood,trj_naupwF5_1,1,-7.4371,23.3519,14.9753,0.2408567624128509,7.2257028723855266,26.670327926982413
162,naupliar,withFood,trj_naupwF5_1,1,-7.439,23.4069,14.9431,0.0637608814242718,1.912826442728156,150.85816351319744
163,naupliar,withFood,trj_naupwF5_1,1,-7.4587,23.3732,14.9609,0.0429024474826323,1.28707342447897,147.93332600630538
164,naupliar,withFood,trj_naupwF5_1,1,-7.4536,23.5215,14.7995,0.2192461174114603,6.57738352234381,28.14316465158918
165,naupliar,withFood,trj_naupwF5_1,1,-7.4722,23.5571,14.7757,0.0466878999313515,1.400636997940547,161.4391890512775
166,naupliar,withFood,trj_naupwF5_1,1,-7.442,23.4794,14.795,0.0855676340680282,2.5670290220408463,149.27316730139194
167,naupliar,withFood,trj_naupwF5_1,1,-7.4608,23.6587,14.6399,0.2378191329561189,7.134573988683569,3.830569042139965
168,naupliar,withFood,trj_naupwF5_1,1,-7.4617,23.712,14.5931,0.070936168489707,2.1280850546912125,169.07979297048115
169,naupliar,withFood,trj_naupwF5_1,1,-7.4713,23.6062,14.6583,0.1246468611718714,3.739405835156144,162.3127038426136
170,naupliar,withFood,trj_naupwF5_1,1,-7.3753,23.8182,14.4625,0.3041342466740633,9.124027400221898,125.76628412999062
171,naupliar,withFood,trj_naupwF5_1,1,-7.3625,23.8064,14.476,0.0220302065355739,0.6609061960672183,0.2268474123426773
172,naupliar,withFood,trj_naupwF5_1,1,-7.3498,23.7947,14.4895,0.0219187134658945,0.6575614039768354,119.63115830382168
173,naupliar,withFood,trj_naupwF5_1,1,-7.2651,24.0131,14.3969,0.2518876932285516,7.556630796856548,66.17337426196106
174,naupliar,withFood,trj_naupwF5_1,1,-7.2842,24.0253,14.3668,0.0376783757611716,1.1303512728351506,121.56965192978006
175,naupliar,withFood,trj_naupwF5_1,1,-7.2716,23.9429,14.3808,0.0845252624958952,2.535757874876858,151.940831425051
176,naupliar,withFood,trj_naupwF5_1,1,-7.2013,24.1505,14.3703,0.2194313104367738,6.582939313103214,29.780871205335615
177,naupliar,withFood,trj_naupwF5_1,1,-7.1571,24.1896,14.3683,0.0590461683769558,1.7713850513086762,120.47170305148236
178,naupliar,withFood,trj_naupwF5_1,1,-7.1438,24.1144,14.3928,0.0802008728132045,2.4060261843961364,165.25186725155112
179,naupliar,withFood,trj_naupwF5_1,1,-7.118,24.3835,14.3022,0.2851119253907154,8.553357761721463,62.90024524929635
180,naupliar,withFood,trj_naupwF5_1,1,-7.0733,24.4049,14.3071,0.0498002008028086,1.4940060240842583,124.74051924801716
181,naupliar,withFood,trj_naupwF5_1,1,-7.0902,24.3329,14.329,0.0771311869479553,2.3139356084386598,175.0529814500522
182,naupliar,withFood,trj_naupwF5_1,1,-7.012,24.5684,14.2554,0.2588289976026663,7.764869928079991,93.2759156528968
183,naupliar,withFood,trj_naupwF5_1,1,-7.037,24.5774,14.2632,0.0276918760650125,0.8307562819503778,135.5753026732283
184,naupliar,withFood,trj_naupwF5_1,1,-7.0027,24.5137,14.2632,0.0723476329951443,2.17042898985433,142.14814552614453
185,naupliar,withFood,trj_naupwF5_1,1,-6.9794,24.6716,14.235,0.162081892881347,4.862456786440411,0.0348070018080981
186,naupliar,withFood,trj_naupwF5_1,1,-6.9561,24.8295,14.2067,0.1620993214051167,4.862979642153501,162.01952359988567
187,naupliar,withFood,trj_naupwF5_1,1,-6.9381,24.7216,14.2196,0.1101490807950759,3.3044724238522774,166.79377745143032
188,naupliar,withFood,trj_naupwF5_1,1,-6.9413,24.9872,14.1396,0.2774051189145605,8.322153567436814,94.35708029238708
